ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
630,Johnston Atoll,Jazirat junistun almarjania,,,Yuehansidunhuanjiao,Johnstonův atol,Johnston Atoll,Johnstoni atoll,Johnstonin atolli,Atoll Johnston,Johnston-Atoll,Atoli Tzonston,Johnston-atoll,Atollo Johnston,Jonsuton shima,Džonstona atols,Džonstono atolas,Johnston,Atolul Johnston,Dzhonston,Johnstonatollen,Johnston Atolü,,Atol Johnston,Atolón Johnston,Atol Johnston,Johnston
631,Midway Island,Jazur almidway,,,Zhongtudao,Midway,Midway Island,Midway saared,Midwaysaaret,Îles Midway,Midwayinseln,Atoli Mintgoyaii,Midway-atoll,Atollo di Midway,Middouē shima,Midveja atols,Midvėjaus atolas,Midway,Atolul Midway,Miduej,Midwayöarna,Midway Adası,,Atol Midway,Islas Midway,Atol Midway,Midway
632,Wake Island,Jazirat wik,,,Weikedao,Wake,Wake Island,Wake'i saar,Wake,Wake,Wake,Nisos Oyeik,Wake-sziget,Isola di Wake,Uēku shima,Veika sala,Veiko sala,Wake,Insula Wake,Uejk,Wake,Wake Adası,,Otok Wake,Isla Wake,Ilha Wake,Wake Eiland
633,Ishujt Marshall,Jazur marshal,,,Mashao'erqundao,Marshallovy ostrovy,Marshall Islands,Marshalli Saared,Marshallinsaaret,Îles Marshall,Marshallinseln,Nisoi Marsal,Marshall-szigetek,Isole Marshall,Māsharu shotō,Māršala Salas,Maršalo Salos,Wyspy Marshalla,Insulele Marshall,Marshallovy Ostrova,Marshallöarna,Marshall Adaları,,Maršalovi Otoci,Islas Marshall,Ilhas Marshall,Marshalleilanden
634,Ishujt Solomon,Juzur sulayman,,,Suoluomenqundao,Šalomounovy ostrovy,Solomon Islands,Saalomoni Saared,Salomonsaaret,Îles Salomon,Salomonen,Nisoi Solomonta,Salamon-szigetek,Isole Salomone,Soromon shotō,Zālamana Salas,Saliamono Salos,Wyspy Salomona,Insulele Solomon,Solomonovy Ostrova,Salomonöarna,Solomon Adaları,,Solomonski Otoci,Islas Salomón,Ilhas Salomão,Salomonseilanden
635,Kaledonia e Re,Kalidwnya aljadida,,,Xinkaliduoniya,Nová Kaledonie,New Caledonia,Uus-Kaledoonia,Uusi-Kaledonia,Nouvelle-Calédonie,Neukaledonien,Nea Kalidonia,Új-Kaledónia,Nuova Caledonia,Nyūkaredonia,Jaunkaledonija,Naujoji Kaledonija,Nowa Kaledonia,Noua Caledonie,Novaja Kaledonija,Nya Kaledonien,Yeni Kaledonya,,Nova Kaledonija,Nueva Caledonia,Nova Caledónia,Nieuw-Caledonië
636,Fixhi,Fyji,,,Feiji,Fidži,Fiji,Fidži,Fidži,Fidji,Fidschi,Fitzi,Fidzsi-szigetek,Figi,Fijī,Fidži,Fidžis,Fidżi,Fiji,Fidzhi,Fiji,Fiji,,Fidži,Fiyi,Fiji,Fiji
637,Kamçatka,Shibh jazirat kamishatka,,,Kanchajiabandao,Kamčatka,Kamchatka,Kamtšatka poolsaar,Kamtšatkan niemimaa,Kamtchatka,Kamtschatka,Chersonisos Kamtsatka,Kamcsatka,Kamčatka,Kamuchatsuka hantō,Kamčatkas pussala,Kamčiatkos pusiasalis,Kamczatka,Kamceatka,Kamchatka,Kamtjatka,Kamçatka Yarımadası,,Kamčatka,Península de Kamchatka,Península de Kamtchatka,Kamtsjatka
638,Guam,Ghwam,,,Guandao,Guam,Guam,Guam,Guam,Guam,Guam,Gkoyam,Guam,Guam,Guamu,Guama,Guamas,Guam,Guam,Guam,Guam,Guam,,Guam,Guam,Guam,Guam
639,Gilbert Islands,Jazur ghilbirt,,,Jierbotequndao,Gilbertovy ostrovy,Gilbert Islands,Gilberti saared,Gilbertsaaret,Îles Gilbert,Gilbertinseln,Nisia Gkilbert,Gilbert-szigetek,Isole Gilbert,Girubāto shotō,Gilberta salas,Gilberto salos,Wyspy Gilberta,Gilbert Islands,Ostrova Gilberta,Gilbertöarna,Gilbert Adaları,,Gilbertovi otoci,Islas Gilbert,Ilhas Gilbert,Gilberteilanden
640,Mandalay,Mandalay,,,Mandele,Mandalaj,Mandalay,Mandalay,Mandalay,Mandalay,Mandalay,Mantalei,Mandalaj,Mandalay,Mandarē,Mandalaja,Mandalajus,Mandalaj,Mandalay,Mandalaj,Mandalay,Mandalay,,Mandalay,Mandalay,Mandalai,Mandalay
641,Tahiti,Tahiti,,,Daxidi,Tahiti,Tahiti,Tahiti,Tahiti,Tahiti,Tahiti,Taiti,Tahiti,Tahiti,Tahichi-jima,Taiti,Taitis,Tahiti,Tahiti,Taiti,Tahiti,Tahiti,,Tahiti,Tahití,Taiti,Tahiti
642,Phoenix Island,Jazirat finiks,,,Fenghuangdao,Phoenix Island,Phoenix Island,Phoenix Island,Phoenix Island,Île Phénix,Phoenix Island,Nisi Foinix,Phoenix Island,Phoenix Island,Phoenix Island,Phoenix Island,Phoenix Island,Phoenix Island,Phoenix Island,Feniks,Phoenix Island,Phoenix Island,,Phoenix Island,Isla Fénix,Phoenix Island,Feniks Eiland
643,Tuvalu,Twfalu,,,Tuwalu,Tuvalu,Ellice Islands,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Toyvaloy,Tuvalu,Tuvalu,Tsubaru,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,,Tuvalu,Tuvalu,Tuvalu,Tuvalu
644,Northeast Siberia,Northeast Siberia,,,Dongbei xiboliya,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,Northeast Siberia,,Northeast Siberia,Northeast Siberia,Northeast Siberia,Noordoost Siberia
645,Iwo Jima,Ayww jima,,,Liuhuangdao,Iwodžima,Iwo Jima,Iwo Jima,Iwo Jima,Iwo Jima,Iwojima,Ίvo Tzima,Iwo Jima,Iwo Jima,Iōjima,Iwo Jima,Ivo Džima,Iwo Jima,Iwo Jima,Io,Iwo Jima,Iwo Jima,,Iwo Jima,Iōtō,Iwo Jima,Iwo Jima
646,Saipan,Siban,,,Saibandao,Saipan,Saipan,Saipan,Saipan,Saipan,Saipan,Saipan,Saipan,Saipan,Saipan-jima,Saipana,Saipanas,Saipan,Saipan,Sajpan,Saipan,Saipan,,Saipan,Saipán,Saipã,Saipan
647,Palau,Balaw,,,Boliu,Palau,Palau,Belau,Palau,Palaos,Palau,Palaoy,Palau,Palau,Parao,Palau,Palau,Palau,Palau,Palau,Palau,Palau,,Palau,Palaos,Palau,Palau
648,Marcus Island,Minami-touri-shima,,,Nanniaodao,Minami Torišima,Marcus Island,Minamitori,Minamitori-shima,Minamitori-shima,Minami-Torishima,Minami-Tori-sima,Marcus Island,Minami Torishima,Minamitorishima,Minamitori,Marcus Island,Minami Tori-shima,Marcus Island,Minamitori,Minami-Torishima,Minami Torishima,,Marcus Island,Minami Torishima,Minamitorishima,Minami Torishima
649,Ishujt Galapagos,Jazur ghalabaghus,,,Kelongqundao,Galapágy,Galapagos Islands,Galápagose saared,Galápagossaaret,Îles Galápagos,Galapagosinseln,Nisia Gkalapagkos,Galápagos-szigetek,Galápagos,Garapagosu shotō,Galapagu salas,Galapagai,Galapagos,Insulele Galápagos,Galapagos,Galápagosöarna,Galápagos Adaları,,Otočje Galápagos,Islas Galápagos,Galápagos,Galapagoseilanden
650,Attu Island,Jazirat atu,,,Atudao,Attu,Attu Island,Attu,Attu,Attu,Attu,Attu Island,Attu Island,Attu,Attsu-jima,Attu Island,Attu Island,Attu,Attu Island,Attu,Att,Attu Adası,,Attu Island,Isla Attu,Ilha Attu,Attu
651,Ufa,Awfa,,,Wufa,Ufa,Ufa,Ufa,Ufa,Oufa,Uraler-Fuß,Oyfa,Ufa,Ufa,Ufa,Ufa,Ufa,Ufa,Ufa,Ufa,Ufa,Ufa,,Ufa,Ufá,Ufá,Oefa
652,Orenburg,Uwrynburgh,,,Aolunbao,Orenburg,Orenburg,Orenburg,Orenburg,Orenbourg,Orenburg,Orenboyrgk,Orenburg,Orenburg,Orenburuku,Orenburga,Orenburgas,Orenburg,Orenburg,Orenburg,Orenburg,Orenburg,,Orenburg,Oremburgo,Oremburgo,Orenburg
653,Sverdlovsk,Sverdlovsk,,,Siweierdeluofusike,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Swerdlowsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Swerdlowsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk,,Sverdlovsk,Sverdlovsk,Sverdlovsk,Sverdlovsk
654,Gorno-Altaysk,Ghurnu-altaysik,,,Ge'ernuo-a'ertaisike,Gorno-Altajsk,Gorno-Altaysk,Gorno-Altaisk,Gorno-Altaisk,Gorno-Altaïsk,Gorno-Altaisk,Gkorno-Altaisk,Gorno-Altajszk,Gorno-Altajsk,Goruno arutaisuku,Gornoaltajska,Gorno Altaiskas,Gornoałtajsk,Gorno-Altaisk,Gorno-Altajsk,Gorno-Altajsk,Gorno-Altaysk,,Gorno-Altajsk,Gorno-Altaisk,Gorno-Altaisk,Gorno-Altajsk
655,North Sakhalin,North Sakhalin,,,Beikuyedao,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,North Sakhalin,,North Sakhalin,North Sakhalin,North Sakhalin,Noord Sakhalin
656,Kuvajti,Alkuayt,,,Keweite,Kuvajt,Kuwait,Kuveit,Kuwait,Koweït,Kuwait,Koyveit,Kuvait,Kuwait,Kuuēto,Kuveita,Kuveitas,Kuwejt,Kuweit,Kuvejt,Kuwait,Kuveyt,,Kuvajt,Kuwait,Kuwait,Koeweit
657,Birobidzhan,Birubijan,,,Biluobizhan,Birobidžan,Birobidzhan,Birobidžan,Birobidžan,Birobidjan,Birobidschan,Birobitzan,Birobidzsan,Birobidžan,Birobijan,Birobidžana,Birobidžanas,Birobidżan,Birobidjan,Birobidzhan,Birobidzjan,Birobican,,Birobidžan,Birobidzhán,Birobidjan,Birobidzjan
658,Abu Dabi,Abu zabi,,,Abuzhabi,Abú Zabí,Abu Dhabi,Abu Dhabi,Abu Dhabi,Abou Dabi,Abu Dhabi,Άboy Ntabi,Abu-Dzabi,Abu Dhabi,Abudabi-shi,Abū Dabi,Abu Dabis,Abu Zabi,Abu Dhabi,Abu-Dabi,Abu Dhabi,Abu Dabi,,Abu Dhabi,Abu Dabi,Abu Dhabi,Abu Dhabi
659,Aden,Eadn,,,Yading,Aden,Aden,Aden,Aden,Aden,Aden,Άnten,Áden,Aden,Aden,Adena,Adenas,Aden,Aden,Aden,Aden,Aden,,Aden,Adén,Adem,Aden
660,Equatorial Africa,Afriqya aliastiwayiya,,,Chidao feizhou,Rovníková Afrika,Equatorial Africa,Equatorial Africa,Equatorial Africa,Afrique équatoriale,Äquatorialafrika,Isimerini Afriki,Equatorial Africa,Equatorial Africa,Akamichi afurika,Equatorial Africa,Equatorial Africa,Equatorial Africa,Africa ecuatorială,Ekvatorial'naja Afrika,Equatorial Africa,Equatorial Africa,,Equatorial Africa,África ecuatorial,Equatorial Africa,Equatoriaal Afrika
661,Tripolitania,Iiqlim tarabulus,,,Delibolitaniya,Tripolsko,Tripolitania,Tripolitania,Tripolitania,Tripolitaine,Tripolitanien,Tripolitania,Tripolitania,Tripolitania,Toriporitania,Tripolitania,Tripolitanija,Trypolitania,Tripolitania,Tripolitanija,Tripolitanien,Trablusgarp,,Tripolitanija,Tripolitania,Tripolitânia,Tripolitanië
662,Sërt,Mawqie,,,Sute,Syrta,Sirte,Surt,Sirt,Syrte,Sirte,Syrti,Szurt,Sirte,Suruto,Sirta,Surtas,Syrta,Sirt,Sirt,Sirt,Sirte,,Sirte,Sirte,Sirte,Sirte
663,Cyrenaica,Barqa,,,Xilannijia,Kyrenaika,Cyrenaica,Kürenaika,Kyrenaika,Cyrénaïque,Kyrenaika,Kurinaiki,Cyrenaica,Cirenaica,Kirenaika,Cyrenaica,Kirenaika,Cyrenajka,Cirenaica,Kirenaika,Cyrenaika,Sirenayka,,Cirenaika,Cirenaica,Cirenaica,Cyrenaica
664,Southern Slovakia,Southern Slovakia,,,Nansiluofake,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Südslowakei,Southern Slovakia,Southern Slovakia,Slovacchia Meridionale,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,Southern Slovakia,,Southern Slovakia,Southern Slovakia,Southern Slovakia,Zuidelijk Slovakije
665,Gabès,Qabis,,,Jiabeisi,Gábes,Gabès,Gabès,Gabès,Gabès,Gabès,Gkabes,Kábesz,Gabès,Gabesu,Gabès,Gabesas,Kabis,Gabès,Gabes,Gabès,Gabes,,Gabès,Gabes,Gabès,Gabès
666,Lappland,Lappland,,,Lapulan,Lappland,Lappland,Lappland,Lappland,Lappland,Lappland,Lappland,Lappföld,Lappland,Rappurando,Lappland,Lappland,Lappland,Lappland,Laplandija,Lappland,Lappland,,Lappland,Lappland,Lappland,Lapland
667,Lesser Sunda Islands,Juzur sunda alsughraa,,,Xiaoxuntaqundao,Malé Sundy,Lesser Sunda Islands,Väikesed Sunda saared,Pienet Sundasaaret,Petites îles de la Sonde,Kleine Sundainseln,Nisoi Mikres Soyndes,Kis-Szunda-szigetek,Piccole Isole della Sonda,Shōsundarettō,Mazās Zunda salas,Mažosios Sundos salos,Małe Wyspy Sundajskie,Lesser Sunda Islands,Malye Zondskie ostrova,Små Sundaöarna,Küçük Sunda Adaları,,Mali sundski otoci,Islas menores de la Sonda,Pequenas Ilhas da Sonda,Kleine Soenda-eilanden
668,The Moluccas,Juzur almuluk,,,Molujiaqundao,Moluky,The Moluccas,Maluku saared,Molukit,Moluques,Molukken,Moloykes,Maluku-szigetek,Molucche,Morukka shotō,Moluku salas,Molukų salos,Moluki,Insulele Moluce,Molukkskie ostrova,Moluckerna,Maluku Adaları,,Molučki otoci,Islas Molucas,Ilhas Molucas,Molukken
669,West Papua,West Papua,,,Xibabuya,West Papua,West Papua,West Papua,West Papua,Papouasie occidentale,West Papua,West Papua,West Papua,West Papua,Nishi papua,West Papua,West Papua,West Papua,West Papua,Zapadnoe Papua,West Papua,Batı Papua,,Zapadna Papua,Papúa Occidental,West Papua,West Papoea
670,Laosi,Yakhsar,,,Laozhua,Laos,Laos,Laos,Laos,Laos,Laos,Laos,Laosz,Laos,Raosu,Laosa,Laosas,Laos,Laos,Laos,Laos,Laos,,Laos,Laos,Laos,Laos
671,Tonkin,Tunkin,,,Dongjing,Tonkin,Tonkin,Tonkin,Tonkin,Tonkin,Tonkin,Tonkino,Tonkin,Tonchino,Tonkin,Tonkin,Tonkin,Tonkin,Tonkin,Bakbo,Tonkin,Tonkin,,Tonkin,Tonkín,Tonquim,Tonkin
672,Sumatra,Sumatra,,,Sumendala,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Soymatra,Szumátra,Sumatra,Sumatoratō,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,,Sumatra,Sumatra,Sumatra,Soematra
673,Sulawesi,Swlwsi,,,Sulaweixidao,Sulawesi,Sulawesi,Sulawesi,Sulawesi,Célèbes,Sulawesi,Soylaoyezi,Celebesz,Sulawesi,Suraueshi-jima,Sulavesi,Sulavesis,Celebes,Sulawesi,Sulavesi,Sulawesi,Sulawesi,,Sulawesi,Célebes,Celebes,Soelawesi
674,Central Australia,Central Australia,,,Zhongzhou,Střední Austrálie,Central Australia,Central Australia,Central Australia,Région d'Alice Springs,Central Australia,Central Australia,Central Australia,Austrialia Centrale,Chūō ōsutoraria,Central Australia,Central Australia,Central Australia,Central Australia,Tsentral'naja Avstralija,Central Australia,Central Australia,,Central Australia,Australia Central,Região de Alice Springs,Centraal Australië
675,Al Hajara,Sanea,,,Sanasheng,Al Hajara,Al Hajara,Al Hajara,Sanaa,Gouvernorat de Sanaa,Gouvernement Sanaa,Al Hajara,Szanaa kormányzóság,Governatorato di Sana'a,Sanā-ken,Al Hajara,Al Hajara,Sana,Guvernoratul Sana'a,Sana,Sana'a,San'a,,Sana,Gobernación de Saná,Saná,Sanaa
676,Mosul,Almawsil,,,Mosuer,Mosul,Mosul,Mosul,Mosul,Mossoul,Mossul,Mosoyli,Moszul,Mosul,Mōsuru,Mosula,Mosulas,Mosul,Mosul,Mosul,Mosul,Musul,,Mosul,Mosul,Mossul,Mosoel
677,Halepi,Halab,,,Alepo,Aleppo,Aleppo,Aleppo,Aleppo,Alep,Aleppo,Chalepi,Aleppó,Aleppo,Areppo,Haleba,Alepas,Aleppo,Alep,Aleppo,Aleppo,Halep,,Alep,Alepo,Alepo,Aleppo
678,Rub al Khali,Alrube alkhali,,,Lubuhalishamo,Rub al-Chálí,Rub al Khali,Ar-Rub‘ al-Khāli,Rub’ al-Khali,Rub al-Khali,Rub al-Chali,Rub al Khali,Rab-el-Háli,Rub' al-Khali,Rubuaruharisabaku,Rub al Khali,Rub al Chalis,Ar-Rab al-Chali,Rub al-Khali,Rub-el'-Hali,Rub al-Khali,Rubülhali Çölü,,Rub' al Khali,Desierto de Rub al-Jali,Rub' al-Khali,Lege Kwartier
679,Hixhazi,Alhijaz,,,Hanzhi,Hidžáz,Hejaz,Al-Ḩijāz,Hijaz,Hedjaz,Hedschas,Chetzaz,Hidzsáz,Hegiaz,Hijāzu,Hidžāzs,Hidžazas,Hidżaz,Hidjaz,Hidzhaz,Hijaz,Hicaz,,Hedžas,Hiyaz,Hejaz,Hidjaz
680,Deir-az-Zur,Dir alzuwr,,,Daierzuer,Dajr az-Zaur,Deir-az-Zur,Deir-az-Zur,Deir ez Zor,Deir ez-Zor,Deir ez-Zor,Nteir al-Zor,Dajr ez-Zaur,Deir el-Zor,Derizōru,Deir-az-Zur,Deir ez Zoras,Dajr az-Zaur,Deir ez-Zor,Dajr-ez-Zaur,Dayr az-Zawr,Deyrizor,,Deir-az-Zur,Deir ez-Zor,Deir Zor,Deir ez-Zor
681,Cape,Qaba,,,Pijian,Cape,Cape,Cape,Keeppi,Cape,Capa,Cape,Cape,Cappa,Kēpu,Cape,Cape,Cape,Cape,Cape,Cape,Cape,,Cape,Capa,Cape,Cape
682,Northern Ontario,Northern Ontario,,,Bei'ansheng,Northern Ontario,Northern Ontario,Northern Ontario,Northern Ontario,Nord de l'Ontario,Northern Ontario,Northern Ontario,Northern Ontario,Northern Ontario,Kita ontario chihō,Northern Ontario,Northern Ontario,Northern Ontario,Northern Ontario,Severnoe Ontario,Northern Ontario,Northern Ontario,,Northern Ontario,Northern Ontario,Ontário Setentrional,Noordelijk Ontario
683,Northeastern Canada,Northeastern Canada,,,Jianada dongbeibu,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,Northeastern Canada,,Northeastern Canada,Northeastern Canada,Northeastern Canada,Noordoostelijk Canada
684,Caroline Islands,Arkhabil karulin,,,Jialuolinqundao,Karolíny,Caroline Islands,Karoliinid,Karoliinit,Îles Carolines,Karolinen,Caroline Islands,Karolina-szigetek,Isole Caroline,Karorin shotō,Karolinu salas,Karolinų salos,Karoliny,Insulele Caroline,Karolinskie ostrova,Karolinerna,Caroline Adaları,,Caroline Islands,Islas Carolinas,Ilhas Carolinas,Carolinen
685,Panamá Canal,Panamá Canal,,,Banama yunhe,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Canal,,Panamá Canal,Panamá Canal,Panamá Canal,Panamá Kanaal
686,Portorikoja,Burturiku,,,Boduolige,Portoriko,Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,Poyerto Riko,Puerto Rico,Porto Rico,Puerutoriko,Puertoriko,Puerto Rikas,Portoryko,Puerto Rico,Puerto-Riko,Puerto Rico,Porto Riko,,Portoriko,Puerto Rico,Porto Rico,Puerto Rico
687,British Guyana,Ghiana albiritania,,,Yingshuguiyana,British Guyana,British Guyana,British Guyana,Brittiläinen Guiana,Guyane britannique,Britisch-Guayana,Vretaniki Goyiana,British Guyana,Guyana britannica,Igirisu no giana,British Guyana,Britų Gviana,Gujana Brytyjska,Guyana Britanică,Britanskaja Gviana,Brittiska Guyana,Britanya Guyanası,,Britanska Gvajana,Guayana británica,Guiana Britânica,Brits Guyana
688,Chaco Boreal,Chaco Boreal,,,Chakebei,Chaco,Chaco Boreal,Chaco Boreal,Chaco Boreal,Chaco,Chaco,Chaco Boreal,Chaco Boreal,Chaco,Chako,Chaco Boreal,Čakas,Chaco Boreal,Chaco Boreal,Chako,Chaco,Chaco Boreal,,Chaco Boreal,Chaco,Chaco,Chaco
689,Xhamajka,Jamayka,,,Yamaijia,Jamajka,Jamaica,Jamaica,Jamaika,Jamaïque,Jamaika,Tzamaika,Jamaica,Giamaica,Jamaika,Jamaika,Jamaika,Jamajka,Jamaica,Jamajka,Jamaica,Jamaika,,Jamajka,Jamaica,Jamaica,Jamaica
690,Northern Bahamas,Northern Bahamas,,,Beibahama,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,Northern Bahamas,,Northern Bahamas,Northern Bahamas,Northern Bahamas,Noordelijke Bahamas
691,Trinidad,Trinidad,,,Telinidadao,Trinidad,Trinidad,Trinidad,Trinidad,Trinité,Trinidad,Trinintant,Trinidad,Trinidad,Torinidādo shima,Trinidāda,Trinidadas,Trynidad,Trinidad,Trinidad,Trinidad,Trinidad,,Trinidad,Isla Trinidad,Trindade,Trinidad
692,Windward Islands,Juzur antil winduard,,,Xiangfengqundao,Návětrné ostrovy,Windward Islands,Windward Islands,Windwardsaaret,Windward Islands,Windward Islands,Prosinemes Nisoi,Szél felőli szigetek,Isole Sopravento Meridionali,Uindowādo shotō,Windward Islands,Priešvėjinės Antilų salos,Windward Islands,Windward Islands,Windward Islands,Windward Islands,Windward Islands,,Privjetrinski otoci,Windward Islands,Windward Islands,Neerwindse Eilanden
693,Southern Bahamas,Southern Bahamas,,,Nanbahama,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas,,Southern Bahamas,Southern Bahamas,Southern Bahamas,Southern Bahamas
694,French Caribbean,Alantil alfaransia,,,Fashuandeliesi,Francouzské Antily,French Caribbean,French Caribbean,French Caribbean,Antilles françaises,Französische Antillen,Gallikes Antilles,French Caribbean,Antille francesi,Furansu-ryō antiru,French Caribbean,Prancūzijos Vakarų Indijos,Antyle Francuskie,French Caribbean,Frantsuzskaja Vest-Indija,Franska Västindien,French Caribbean,,Francuski Antili,Antillas francesas,Antilhas francesas,Franse Antillen
695,Curaçao,Kwrasha,,,Kulasuo,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Curaçao,Koyrasao,Curaçao,Curaçao,Kyurasō,Kirasao,Kiurasao,Curaçao,Curaçao,Kjurasao,Curaçao,Curaçao,,Curaçao,Curazao,Curaçau,Curaçao
696,Bermuda,Birmuda,,,Baimuda,Bermudy,Bermuda,Bermuda,Bermuda,Bermudes,Bermuda,Vermoydes,Bermuda,Bermuda,Bamyūda shotō,Bermudu salas,Bermuda,Bermudy,Insulele Bermude,Bermudskie Ostrova,Bermuda,Bermuda,,Bermudi,Bermudas,Bermudas,Bermuda
697,Ishujt Medeira,Madira,,,Madelaqundao,Madeira,Madeira,Madeira,Madeira,Madère,Autonome Region Madeira,Madera,Madeira-szigetek,Madera,Madeira shotō,Madeira,Madeiros autonominis regionas,Madera,Madeira,Madejra,Madeira,Madeira,,Madeira,Madeira,Madeira,Madeira
698,Ishujt Azore,Alazur,,,Yasuerqundao,Azory,Azores,Assoorid,Azorit,Açores,Azoren,Azores,Azori-szigetek,Azzorre,Azoresu shotō,Azoru salas,Azorai,Azory,Azore,Azorskie ostrova,Azorerna,Azorlar,,Azori,Azores,Açores,Azoren
699,Rio de Oro,Alwadi aldhahabi,,,Liaodeaoluo,Rio de Oro,Rio de Oro,Rio de Oro,Río de Oro,Rio de Oro,Río de Oro,Rio de Oro,Río de Oro,Río de Oro,Rio de oro,Rio de Oro,Rio de Oras,Rio de Oro,Rio de Oro,Rio-de-Oro,Rio de Oro,Rio de Oro,,Rio de Oro,Río de Oro,Rio do Ouro,Río de Oro
700,Siera Leone,Siralyun,,,Sailaliang,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Siera Leone,Sierra Leone,Sierra Leone,Shierareone,Sjerraleone,Siera Leonė,Sierra Leone,Sierra Leone,S'erra-Leone,Sierra Leone,Sierra Leone,,Sijera Leone,Sierra Leona,Serra Leoa,Sierra Leone
701,Gambia,Ghambiaa,,,Gangbiya,Gambie,Gambia,Gambia,Gambia,Gambie,Gambia,Gkabia,Gambia,Gambia,Ganbia,Gambija,Gambija,Gambia,Gambia,Gambija,Gambia,Gambiya,,Gambija,Gambia,Gâmbia,Gambia
702,Kepi i Gjelbër,Alraas alakhdar,,,Fodejiao,Kapverdy,Cape Verde,Roheneemesaared,Kap Verde,Cap-Vert,Kap Verde,Prasino Akrotirio,Zöld-foki Köztársaság,Capo Verde,Kāboberude,Kaboverde,Žaliasis Kyšulys,Republika Zielonego Przylądka,Republica Capului Verde,Kabo-Verde,Kap Verde,Yeşil Burun Adaları,,Zelenortska Republika,Cabo Verde,Cabo Verde,Kaapverdië
703,Ascension,Ascension,,,Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,Ascension,Asenshon,Ascension,Ascension,Ascension,Ascension,Asens'on,Ascension,Ascension,,Ascension,Ascension,Ascension,Ascension
704,Ishulli Shën Elena,Sant hilina,,,Shenghelena,Svatá Helena,Saint Helena,Saint Helena,Saint Helena,Sainte-Hélène,St. Helena,Nisos Agias Elenis,Szent Ilona,Sant'Elena,Sentoherena,Svētās Helēnas Sala,Šv. Elenos sala,Wyspa Świętej Heleny,Insula Sfânta Elena,Ostrov Svjatoj Eleny,Sankta Helena,Saint Helena,,Sveta Helen,Isla Santa Elena,Santa Helena,Sint-Helena
705,Sao Tome,Saw tumi,,,Shengduomei,São Tomé,Sao Tome,São Tomé,São Tomé,São Tomé,São Tomé,Sao Tome,São Tomé,São Tomé,Santome,Santome,San Tomė,São Tomé,São Tomé,San-Tome,São Tomé,São Tomé,,São Tomé,Santo Tomé,São Tomé,Sao Tomé
